County Code,County Title,MSA Code,MSA Title,CSA Code,CSA Title
55025,"Dane County, Wisconsin",C3154,"Madison, WI MSA",CS357,"Madison-Janesville-Beloit, WI CSA"
55027,"Dodge County, Wisconsin",C1318,"Beaver Dam, WI MicroSA",CS376,"Milwaukee-Racine-Waukesha, WI CSA"
55031,"Douglas County, Wisconsin",C2026,"Duluth, MN-WI MSA",,
55033,"Dunn County, Wisconsin",C3286,"Menomonie, WI MicroSA",CS232,"Eau Claire-Menomonie, WI CSA"
55035,"Eau Claire County, Wisconsin",C2074,"Eau Claire, WI MSA",CS232,"Eau Claire-Menomonie, WI CSA"
55037,"Florence County, Wisconsin",C2702,"Iron Mountain, MI-WI MicroSA",,
55039,"Fond du Lac County, Wisconsin",C2254,"Fond du Lac, WI MSA",,
55043,"Grant County, Wisconsin",C3842,"Platteville, WI MicroSA",,
55045,"Green County, Wisconsin",C3154,"Madison, WI MSA",CS357,"Madison-Janesville-Beloit, WI CSA"
55049,"Iowa County, Wisconsin",C3154,"Madison, WI MSA",CS357,"Madison-Janesville-Beloit, WI CSA"
55055,"Jefferson County, Wisconsin",C4802,"Watertown-Fort Atkinson, WI MicroSA",CS376,"Milwaukee-Racine-Waukesha, WI CSA"
55059,"Kenosha County, Wisconsin",C1698,"Chicago-Naperville-Elgin, IL-IN-WI MSA",CS176,"Chicago-Naperville, IL-IN-WI CSA"
55061,"Kewaunee County, Wisconsin",C2458,"Green Bay, WI MSA",CS267,"Green Bay-Shawano, WI CSA"
55063,"La Crosse County, Wisconsin",C2910,"La Crosse-Onalaska, WI-MN MSA",,
55069,"Lincoln County, Wisconsin",C3298,"Merrill, WI MicroSA",CS554,"Wausau-Stevens Point-Wisconsin Rapids, WI CSA"
55071,"Manitowoc County, Wisconsin",C3182,"Manitowoc, WI MicroSA",,
55073,"Marathon County, Wisconsin",C4814,"Wausau, WI MSA",CS554,"Wausau-Stevens Point-Wisconsin Rapids, WI CSA"
55075,"Marinette County, Wisconsin",C3194,"Marinette, WI-MI MicroSA",,
55078,"Menominee County, Wisconsin",C4302,"Shawano, WI MicroSA",CS267,"Green Bay-Shawano, WI CSA"
